제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.10.22.|2018.10.26.&section=kin&page=1
"진료의뢰서 유효기간은 1주일, 종합병원은 에약일은 한달 이상 뒤, 어찌 해야 하나요?","진료의뢰서 유효기간은 1주일, 종합병원은 에약 가능일은 한달 이상 뒤, 어찌 해야 하나요? 위 상황에서 어떤 조치를 해야 하나요?건강검진 결과지로 2차병원 진료할 수 있는 유효기간은 어찌 되나요?",예약 가능일은 한달 이상 뒤 이면 예약 가능일 며칠전에 진료의뢰서를 또 띄어서 며칠 있다가 그 진료 의뢰서로 예약하면 됩니다.
에전에 일주일간 머리가 찢어질거 같이 아프고 심장이 쿵쾅쿵쾅 뛰는게 느껴졌다가 또 멈춘거같은 느낌이 들때가 있었습니다. 병원에 가서 검사를 해봤더니 위에 출혈이 있고 혈압은 원래 혈압보다 30떨어진 저혈압으로 나오고 심전도검사도 13인가 9.8이 나왔던 걸로 기억합니다. 그러나 정확한 원인을 모르겠다며 빈혈약과 위장약만 받앗습니다.그 후엔 괜찮아 졌는데 요즘 다시 심장이 느리게 뛰는 거 같은 느낌이들면서 머리도 살살 아프기 시작했습니다. 제가 그 일주일간 고샹을 너무 많이 했어서 걱정이 되네요정밀검사가 귀찬지만은 병원 가보는 게 좋겟죠? 어떤 병의 증상일까요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",당연한 거죠..내장 어디에선가 출혈(싷혈)이 잇으면 혈압이 떨어지니까 (국소적) 그거 보충하려고 심장이 더 일을 해서피를 더 보내야죠.어디가 문제가 생겻는지는 알수가 없죠.그러니까 검사를해야죠.제1차 용의 장소는 전의 그  위장의 출혈입니다.
한달전에 친정아버지 병원에 계시다가 갑자기95세로 돌아가셨는데 궁금한점이있어 문을 두드립니다~~^^딸이 다섯 아들 하나 인데 남동생은 10년전에사고로 이세상을 떠나고 논밭팔아 부모님병원비하고 남은건 며느리.손자 다주고 촌에 사셨던작은 집은 우리 딸 다섯명의 하려는데 1가구2주택에걸리지 않은지?창고로 다들 살고있는집은 다있슴다~~어떤사람은.촌집이라 괜찮다는사람.또 안 괜찮다는 사람 여러 의견들이 많아확실이 알고싶어요?답변 부탁합니다,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","상속받은 주택의 지분이 같은 경우에는 동거한 딸이 없다면 연장자의 주택 수로 계산을 합니다. 따라서 큰 딸은 다른 주택이 있으면 상속주택으로 1세대2주택 이상으로 되며, 다른 딸들은 주택 수가 추가되지 아니합니다."
요즘 발가락 옆이 아프더니 밑에 저렇게 고름이 찼습니다. 누르면 옆으로 새어 나와서 최대한 짰는데 더이상 안짜집니다.어떤 증세이며 어떻게 해야하나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","생손앓이 또는 생인손이라고 하는 증세입니다.고름이 가득찼네요. 병원에 가시면 고름을 짜내줄 겁니다.이왕이면 병원에 가시고, 너무 아파서 못 참겠다 싶으면 소독한 바늘로 아주 살짝만 찔러서 고름을 빼준 후소독약을 발라주세요.정말정말 급한 경우가 아니면, 직접 하지 마시고 병원을 꼭 가세요!!!!괜히 집에서 처리하다가 감염될 수도 있습니다."
병원 옮길려면 무슨 서류가 필요한가요??이번에 대학병원에서 수술하면서다른곳도 안좋아서 타지 대학병원을다니고 있는데요~~가까운 대학병원으로 옮길려면무슨 서류가 필요 한가요??,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",진료하시는 과나 병명에 따라 다르지만 보통 대학병원->대학병원은 가기가 매우힘듭니다.우선 진료를 받고 계시면 전화로 문의하여 병원을 옮기려는데 어떤 서류가 필요한지 물어보신 후 보호자가 그 서류를 가지고 의사와 면담을 해보시는 방법도 있고요.(환자가 입원중이 아닌경우 같이 가셔서 추가적인 검사를 받는것도 좋습니다.)계시는 병원의 의사와 상담하여 가시려는 병원에 의뢰를 해달라고 부탁하시면됩니다.혹시 입원중이시면 무조건 응급실로 쳐들어가면 된다는 사람이 있는데 절대로 그렇게 하시면 오히려 환자분이 힘들어 질 수 있으며 원래 계신 병원으로 돌아와야하는 경우가 생길 수도 있습니다.만약에 가시려는 병원이 입원 병실이 부족하거나 진료를 할수 없어 돌아오실경우 원래 계셧던 병원자리에 다른 환자가 입원하여 자리가 없을 경우 자리가 생길때 까지 응급실에 대기를 하실수도 있습니다.가시려는 병원에 확실히 입원날짜가 나온 후 병원을 옮기시길 바랍니다.
병원 옮길려면 무슨 서류가 필요한가요??이번에 대학병원에서 수술하면서다른곳도 안좋아서 타지 대학병원을다니고 있는데요~~가까운 대학병원으로 옮길려면무슨 서류가 필요 한가요??,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","지금 다니고 계신 병원에서 다 병원으로 옮긴다고 하면 필요한 서류를 다 준비해 주던데요.그리고 옮기는 병원에 전화해서 필요한 서류 물어보시면 뭐뭐 가지고 오라고 했던것 같아요.X- 레이, CT 사진등은 복사해서 가지고 가심이 좋아요.병원에서 복사비 만원인가 받더라구요."
기침과 가래가 두 달 가까이 지속되고 있습니다,"안녕하세요.'30대 여성입니다.기침과 가래가 시작된 지 두 달이 다 되어가는 것 같아요.그런데 재작년쯤부터 반복되는 것 같아요. 이맘때쯤부터 기침을 하기 시작하면 몇 달은 가더라구요. 어떤 약을 먹고 어떤 민간요법을 해도 안 낫고 그냥 때가 되면 낫는 그런 느낌이었어요.올해도 벌써 두 달이 다 돼가는 것 같은데, 이번엔 가래가 엄청 심해요. 동네 내과에 자주 다니는데, 항생제를 너무 많이 먹는 것 같아 가다가 몇 주째 안 가고 있어요 ㅠ  먹어도 안 낫기도 하고요.  그 의사 말로는 제가 폐와 기관지 쪽이 안 좋다고 작년에 그러더라고요. 엑스레이도 몇 번 찍었거든요.원래는 안 이랬는데 제가 아프리카에 갔다가 말라리아에 걸렸었는데 그때 감기인줄 알고 좀 방치해서 폐렴까지 같이 와서 입원치료를 거기서 받은 적이 있어요. 그리고 나서 귀국했는데 이상하게 그 이후부터 계속 해마다 이래요.ㅠㅠ 관련이 있는 건지 잘 모르겠어요.작년 말쯤부터는 오른쪽 가슴 안쪽도 뜨끔거리는데, 좀 괜찮아졌다가 기침, 가래 시작하면서 다시 통증이 생겼어요. 그러고보니 올해는 엑스레이 같은 건 안 찍어보긴 했네요. 작년엔 찍어봐도 별 이상 없디고 하고 큰 병원 의사는 고작 뭐 이런 걸로 큰 병원 왔냐는 식으로 퉁명스럽게 대꾸를 해서 올해는 가기가 싫더라구요 ㅠ..어쩔 땐 미열도 나고 온몸에 근육통도 오고 그래요. 엄마는 비염 때문이 아니냐고 그러는데... 비염 치료도 받아봤는데 효과 없었거든요..ㅠ아무튼 큰 병원에서 면박(?) 비슷하게 당한 이후로 검사 받으러 가기가 꺼려져서 지금은 그냥 있는데... 고열이 안 나는 거 보니 또 별 다른 이상이 있는 것 같지는 않기도 하고.ㅠㅠ아.. 어떻게 해야 할지 모르겠네요. 왜 기침이 멎지를 않는 건지. 벌써 3년째 해마다 너무 슬프네요.그냥 제가 폐와 기관지 자체가 약해서 그런 걸까요? 오미자 먹고.. 이런거 외엔 별 다른 방법은 없는 걸까요. 폐는 CT는 찍어본 적 없고 엑스레이만 몇 번 찍었었어요 작년에.읽어주셔서 감사합니다.아, 추가하자면 저는 담배 같은 것은 피운 적이 없습니다.","폐렴에 걸린 후유증이라고 생각됩니다만..만성 기관지염에, 혹은 기관지확장증이 후유증이죠.혹은 걸렸던 부위가 약간 섬유화될 수도 있습니다만..그건 서서히 좋아 질꺼구요(선천적이 아닌이상.회복도죠, 좀 시간이 걸립니다.정도도 약하구요.완치 되었었다면..)저선량 폐시티 한번 찍어 보세요.후유증이 혹시 있나하고..아니면 좀 장기간 기관지약을 드셔보시던가..장기간 써도 부작용없는 2차항생제(록시마이신제제)_를 포함해서..가래약(mucolytics)과..비교적 순하고 부작용없는 아미노필린(기관지 확장제)와 함께..만성기관지염에 준해서 좀 긴기간 써보셔도 좋습니다."
기침과 가래가 두 달 가까이 지속되고 있습니다,"안녕하세요.'30대 여성입니다.기침과 가래가 시작된 지 두 달이 다 되어가는 것 같아요.그런데 재작년쯤부터 반복되는 것 같아요. 이맘때쯤부터 기침을 하기 시작하면 몇 달은 가더라구요. 어떤 약을 먹고 어떤 민간요법을 해도 안 낫고 그냥 때가 되면 낫는 그런 느낌이었어요.올해도 벌써 두 달이 다 돼가는 것 같은데, 이번엔 가래가 엄청 심해요. 동네 내과에 자주 다니는데, 항생제를 너무 많이 먹는 것 같아 가다가 몇 주째 안 가고 있어요 ㅠ  먹어도 안 낫기도 하고요.  그 의사 말로는 제가 폐와 기관지 쪽이 안 좋다고 작년에 그러더라고요. 엑스레이도 몇 번 찍었거든요.원래는 안 이랬는데 제가 아프리카에 갔다가 말라리아에 걸렸었는데 그때 감기인줄 알고 좀 방치해서 폐렴까지 같이 와서 입원치료를 거기서 받은 적이 있어요. 그리고 나서 귀국했는데 이상하게 그 이후부터 계속 해마다 이래요.ㅠㅠ 관련이 있는 건지 잘 모르겠어요.작년 말쯤부터는 오른쪽 가슴 안쪽도 뜨끔거리는데, 좀 괜찮아졌다가 기침, 가래 시작하면서 다시 통증이 생겼어요. 그러고보니 올해는 엑스레이 같은 건 안 찍어보긴 했네요. 작년엔 찍어봐도 별 이상 없디고 하고 큰 병원 의사는 고작 뭐 이런 걸로 큰 병원 왔냐는 식으로 퉁명스럽게 대꾸를 해서 올해는 가기가 싫더라구요 ㅠ..어쩔 땐 미열도 나고 온몸에 근육통도 오고 그래요. 엄마는 비염 때문이 아니냐고 그러는데... 비염 치료도 받아봤는데 효과 없었거든요..ㅠ아무튼 큰 병원에서 면박(?) 비슷하게 당한 이후로 검사 받으러 가기가 꺼려져서 지금은 그냥 있는데... 고열이 안 나는 거 보니 또 별 다른 이상이 있는 것 같지는 않기도 하고.ㅠㅠ아.. 어떻게 해야 할지 모르겠네요. 왜 기침이 멎지를 않는 건지. 벌써 3년째 해마다 너무 슬프네요.그냥 제가 폐와 기관지 자체가 약해서 그런 걸까요? 오미자 먹고.. 이런거 외엔 별 다른 방법은 없는 걸까요. 폐는 CT는 찍어본 적 없고 엑스레이만 몇 번 찍었었어요 작년에.읽어주셔서 감사합니다.아, 추가하자면 저는 담배 같은 것은 피운 적이 없습니다.","기침은 기관지나 폐에 염증이나 이물감이 있어서 그것을 밖으로 강력하게 폭발적으로 배출하려고 하는 내 몸의 자연스러운 호흡 현상이고 가래는 염증부위를 보호하려고 생기는 방어물질입니다.오래 기침을 하면 폐렴이나 천식으로 악화될 수가 있습니다.그러나 병원 치료를 해도 잘 낫지 않고 나았다 하더라도 또 재발해 완치하기가 힘든 질환이 기관지나 폐 질환입니다.그래서인지 민간요법이 많습니다.도라지, 수세미, 곰보배추, 돌배나무, 보리수나무 등등우리 주변에 흔한 약초나 식품이 많습니다.그러나 그걸 드시고 100% 효험을 보신 분도 있고 전혀 효험을 못보고 민간요법을 불신하는분도 있습니다.은행마을에서는 수백 년 전부터 은행이 기침, 가래, 해소, 천식 등 기관지 질환과 각종 폐 질환에 좋은걸 알고 은행열매를 익혀서 먹던지 아님 은행열매를 발효시킨 발효액을 만들어 드셨습니다.은행마을은 전국 최대의 재래종 은행나무 집산지로 장현 1리 1개리에 200년생 15주 30~50년생 2,000주 전국에서 유일무이하게 은행나무가 많은 곳입니다.필자가 선친한테 처음 은행 과즙 발효액 만드는 걸 전수받던 게 55년 전이니 그때는 동네에 은행나무도 많지 않고 어린 나무라 수확량이 많지 않아 발효액을 많이 생산할 수 없었으나 지금은 수확량이 수십 톤에 달해 일 년이면 제법 많은 양의 발효식초를 만들 수 있게 되었습니다.은행열매의 주성분은 옻 성분과 탄닌 성분이 많이 들어있어 5년 9년 오래 발효 숙성될수록 부작용이 없는 발효식초가 되는것도 발견 하였습니다.인공첨가물이 않들어가는 천연식초라 유기산 항산화물질 천연구연산 항암물질도 들어있고 정신을 안정시키는 물질이 있어 우울증 공황장애 파킨슨 알츠하이머 간질 치매등에도 효과가 보고되고 있습니다.필자의 소망은 의약품으로 개발되어 천년 장수하는 은행나무의 생명력을 인류 건강에 이바지하는 날이 하루빨리 왔으면 하는 바램입니다.호흡기질환은 기관지나 폐가 건조하면 증상이 더하기 때문에 따뜻한 물을 충분하게 드시고 상체를 따뜻하게 관리 하는것도 예방 치료에 도움이 됩니다.필자의 소망은 의약품으로 개발되어 천년 장수하는 은행나무의 생명력을 인류 건강에 이바지하는 날이 하루빨리 왔으면 하는 바람입니다.네이버 은행식초의 효능 검색 해보세요"
제가 손이 곪았다는데 짜야된다고 병원가자는데 너무 무서워요.제손 사진 첨부합니다.봐주세요.어떤건지 알려주시고요.많이 아프나요?,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",아뇨 저정도면 저는 혼자 집에서 바늘로 찌르고 손 쥐여짜서 고름뺄듯 아프긴 존나아픈데 빨리안하면 문제에요 결론은 심하지않음
3달에 한번? 일년에 3번정도 이렇게 손이 일어나네요.. 너무 스트레스받고 컴플렉스입니다.. 저렇게 한번 일어났다가 한번 싹 갈아엎고 또 괜찮아지고 그렇습니다. 지문인식도 안되구요.. 어떤 병인지 어떻게 고쳐야하는지 좀 답좀부탁드립니다! 병원가도 병원에서도 제대로 모르네요,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...",습진 아닐까요? 제 친구도 같은 증상이 있는데. 약국에서 쉽게 약 처방받을 수 있을거에요! 제 친구도 바르면 낫는다고 하더라구요. 그래도 정확한 진단을 위해 약국이나 병원에서 증상 진단해보세요!
웹툰인데..이름이 기억이안나요 네이버웹툰은 아니고...하여튼 어떤 사람이 살인자였는데 막 반전으로 경비원이 연쇄 살인자고 지하철에 감금하고... 탈출하려고하지만 실패했던거 같습니다 제발 알려주세요,"가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","안녕하세요. 원자력병원-네이버 지식iN 상담의사 양기영 입니다.강풀 원작의 ""이웃사람""이 아닐까 합니다.감사합니다."
