제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.11.02.|2019.11.06.&section=kin&page=1
생인발? 내성발톱? 뻔떡하면 수술?,제가 얼마전 발톱 깎았는데 좀 짧게 깎아서 지금은 만지면 약간 통증밖엔 없거든요.. 근데 이거 보니까 막 수술해야한다 그러고 첨 알았어요. 이거 자연적으로 낫는방법없나요? 수술보니 마취가 그렇게 아프다고 해서 안할려고하는데 제 상태는 어느정도인가요? 심하진 않은거 같은데 의사선생님들만 답변 부탁드려요.,"내성발톱은 꾸준히 관리를 해줘야하는데,요즘에는 내성발톱 전문 네일샵도 많아요!병원보다는 저는 네일샵을 추천드릴께요​"
내성 발톱,제가 얼마전 발톱 깎았는데 좀 짧게 깎아서 지금은 만지면 약간 통증밖엔 없거든요.. 근데 이거 보니까 막 수술해야한다 그러고 첨 알았어요. 이거 자연적으로 낫는방법없나요? 수술보니 마취가 그렇게 아프다고 해서 안할려고하는데 제 상태는 어느정도인가요? 심하진 않은거 같은데 의사선생님들만 답변 부탁드려요.,의사 선생님은 아지니만 저도 내성 발톱이예요 그래서 자꾸 발톱이 살을 파고 들어가요 병원에 가니깐 발톱을 일자로 자르면 괜찮다고 하더라고요 처음에 일자로 기르기가 힘들어서 그렇지 일자로 자르면 수술 안해도 아프지 않고 잘 다닐수 있어요 경험담이라서 알려드려요
귀 안나빠질까요???,"안녕하세요. 제가 20살 남자인데요. 제가 2년동안 하루종일 거의 이어폰으로 게임하고노래듣고 음악하는게 취미다보니 더 심했는데, 요즘들어서 귀가 너무 답답하고 약간안들리는것 같아서 병원을 1달전에 갔는데 청각이 100이 정상이면 지금 80대후반그렇다는데, 그래서 3,4개월만 끼려는데, 아직은 보청기는 훨씬 안껴도 되나요?오늘도 귀가 답답해서요 답답해도 어느정도 꽤 들려요보청기는 안껴도 아직 되나요? 답변부탁합니다!!! 꽤 먹먹해요. 요즘은 하루 8시간정도끼고 사는데 3,4달만 끼고 살면 귀 안나빠지나요?? 현재는 되게 먹먹한편인데 지금도 그래요보청기 생각은 아직은 한참 이르나요? 버릇땜에 자주 끼고 그래요진짜 귀는 보청기 낄정도만 아니면 지장없다는데, 현재는 매우 답답해요지금도 많이 답답하고 그래여, 그래서 3,4개월 까지만 이어폰끼고 고급 스타렉스에서 살려고요엄마도 하루종일 껴도 멀쩡하다는데, 매일끼니 귀가 먹먹한데 어때요? 딱 3,4달만 진짜루3,4달만 끼고요. 그다음에 바로 스타렉스에서 잠자고 거기서 컴퓨터 설치하고 게임하며 살거에요!그때는 스타렉스에서 잠자고 이어폰 최대한 안낄거에요 3,4개월후에요 지금 심하게 먹먹한데진짜 답변부탁합니다.",공식적으로 이어폰으로 장시간 듣는다면 귀에 좋지않다는 것이 밝혀 졌습니다.이어폰을 최대한 끼지 마시고 스피커나 되도록이면 그냥 귀로 들으세요
귀 안나빠질까요??,"안녕하세요. 제가 20살 남자인데요. 제가 2년동안 하루종일 거의 이어폰으로 게임하고노래듣고 음악하는게 취미다보니 더 심했는데, 요즘들어서 귀가 너무 답답하고 약간안들리는것 같아서 병원을 1달전에 갔는데 청각이 100이 정상이면 지금 80대후반그렇다는데, 그래서 3,4개월만 끼려는데, 아직은 보청기는 훨씬 안껴도 되나요?오늘도 귀가 답답해서요 답답해도 어느정도 꽤 들려요보청기는 안껴도 아직 되나요? 답변부탁합니다!!! 꽤 먹먹해요. 요즘은 하루 8시간정도끼고 사는데 3,4달만 끼고 살면 귀 안나빠지나요?? 현재는 되게 먹먹한편인데 지금도 그래요보청기 생각은 아직은 한참 이르나요? 버릇땜에 자주 끼고 그래요진짜 귀는 보청기 낄정도만 아니면 지장없다는데, 현재는 매우 답답해요지금도 많이 답답하고 그래여, 그래서 3,4개월 까지만 이어폰끼고 고급 스타렉스에서 살려고요엄마도 하루종일 껴도 멀쩡하다는데, 매일끼니 귀가 먹먹한데 어때요? 딱 3,4달만 진짜루3,4달만 끼고요. 그다음에 바로 스타렉스에서 잠자고 거기서 컴퓨터 설치하고 게임하며 살거에요!그때는 스타렉스에서 잠자고 이어폰 최대한 안낄거에요 3,4개월후에요 지금 심하게 먹먹한데진짜 답변부탁합니다.",볼륨을 1칸~2칸으로 하시는 습관을 들이시면조금 더 나아지실 거에요(물론 좋은건 이어폰 안끼는 거지만)
귀 안나빠질까요???,"안녕하세요. 제가 20살 남자인데요. 제가 2년동안 하루종일 거의 이어폰으로 게임하고노래듣고 음악하는게 취미다보니 더 심했는데, 요즘들어서 귀가 너무 답답하고 약간안들리는것 같아서 병원을 1달전에 갔는데 청각이 100이 정상이면 지금 80대후반그렇다는데, 그래서 3,4개월만 끼려는데, 아직은 보청기는 훨씬 안껴도 되나요?오늘도 귀가 답답해서요 답답해도 어느정도 꽤 들려요보청기는 안껴도 아직 되나요? 답변부탁합니다!!! 꽤 먹먹해요. 요즘은 하루 8시간정도끼고 사는데 3,4달만 끼고 살면 귀 안나빠지나요?? 현재는 되게 먹먹한편인데 지금도 그래요보청기 생각은 아직은 한참 이르나요? 버릇땜에 자주 끼고 그래요진짜 귀는 보청기 낄정도만 아니면 지장없다는데, 현재는 매우 답답해요지금도 많이 답답하고 그래여, 그래서 3,4개월 까지만 이어폰끼고 고급 스타렉스에서 살려고요엄마도 하루종일 껴도 멀쩡하다는데, 매일끼니 귀가 먹먹한데 어때요? 딱 3,4달만 진짜루3,4달만 끼고요. 그다음에 바로 스타렉스에서 잠자고 거기서 컴퓨터 설치하고 게임하며 살거에요!그때는 스타렉스에서 잠자고 이어폰 최대한 안낄거에요 3,4개월후에요 지금 심하게 먹먹한데진짜 답변부탁합니다.",지금부터라도 이어폰 끼지마세요 거기서 더 나빠지면 되돌이킬 수 없어요
만약 국내 최고 재벌이,정략결혼을 하겠다 하면은 어느정도의 집안이 되야 대충 사회적 위치가 비슷비슷하나요?,"재계 서열상 같은 급의 다른 재벌집안 또는 강남에 병원건물을 소유하고 있는 병원집안 (실제 매번 이슈를 만들고 있는  h그룹 사위가 이런 집안이죠 ㅎ)또는 유력한 법조인, 정치인 집안 언론사 집안 들이 대표적입니다 재벌과 유명 로펌 자식들의 정략결혼은 이미 유명하고 현재의 재벌 2세들이 결혼했던 6~70년대에는 유력 언론사와 사돈 맺기는 필수였습니다 ​"
약국 처방전,A동네 병원에서 받은 처방전으로 B동네 약국에서 약처방 가능한가요 ??,안녕하세요. 네이버 지식iN 상담 약사 정일영 입니다.​처방전을 가지고는 전국 어느 약국에 가서 약을 조제할 수 있습니다. 단 그 약국에도 처방된 약이나 대체할 수 있는 약이 있어야 합니다.
승모근 없애는법 진짜 미칠것같아요 10대여잔데 무슨옷을 입어도 이상해보이고 저는 목에도 살이 유난히많고 등살도 올라와있고 승모근까지있어서 밖에 다니기 창피해요 어느병원가야하나요? 없애는게 가능한가요?그리고 어깨랑 목사이가 돌처럼 뭉쳐진게 승모근이 발달된거 맞죠?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",그 부위는 승모근이 있는 곳이긴 합니다근육이 발달 했다면 제거는 어렵습니다병원에서 상담 받고 싶다면 정형외과에 가보는게 좋습니다
발바닥 힘줄 만성염증,"안녕하세요, 18세 고등학생입니다. 취미로 농구를 하며 점프의 필요성을 느껴 점프력을 높이고 싶다는 생각이 들어 헬스장에서 점프력 훈련을 진행했습니다. 그런데 무리를 했는지 며칠 뒤부터 엄지발바닥쪽 뼈부분이 아파왔습니다. 병원에 가보니 엄지 발바닥 쪽 '힘줄'에 염증이 났다고 하더군요; 이후 약도 먹고 물리치료도 받아보고 했지만 크게 나아진 건 없었습니다. 이대로는 안되겠다 싶어 최대한 활동량을 줄이고 하체운동도 일절 하지 않았습니다. 이게 벌써 2달 전입니다. 염증이 있는 엄지발바닥을 피해 걷다보니 이젠 새끼발가락 쪽에도 무리가 오고있습니다. 활동량을 줄여 어느새 지방이 불어났고, 취미인 조깅과 농구, 활발한 활동을 하지 못해 많은 스트레스와 우울감을 느끼고 있습니다..윗글은 하소연이구요^^;*요약*1. 무리한 운동을 지속하여 엄지 발바닥 힘줄에 염증발생2. 병원 치료와 활동량 감소, 운동 중단의 조치에도 염증이 사라지질 않음(!!)*질문*1. 다쳐서 발생한게 아니고 서서히 나타난 염증인데 만성인가요? 급성인가요? 2. 만약 만성이 된거라면 치료 방법은 없을까요?(2-1. 치료방법 없으면 저는 운동을 못하고 사는건가요ㅠㅠ)3. 약국에서 처방해주는 소염제 등은 회복에 영향을 주는게 아니라 염증반응에서 오는 부기와 통증을 줄여주는 거라던데 사실인가요?4. 염증 회복을 빠르게 하는 음식이나 처치법, 생활습관 등등 팁을 주시면 감사하겠습니다.(가장 중요!!)이렇게 오랫동안 어느 부분이 불편해본건 처음이고 심지어 발바닥이라 일상에도 큰 영향을 주니 심적으로 너무 힘드네요..ㅠ빨리 회복하고 싶어서 이렇게 질문 남기니 좋은 답변 부탁드릴게요!!",1 종자골염 같내요.만성 급성을 떠나 엄지발가락이 편형되면서  발생하는 현상입니다​2변형된 발가락을 바르게 잡아주면 염증과 통증이 생기지 않습니다. 발가락 운동용구 듀트을 발가락에 끼우고 걷고 생활하세요 발가락이 바르게 잡히면서 통증과 염증이 생기지 않습니다​3 약과 주사는 염증과 통증을 제거해줄뿐이지 근복적으로 염증증과 통증이 생기지 않게는 못해주므로 약먹고 주사 맞을 때만 효과있는것입니다.​4발가락 운동용구 듀트을 착용하고 걷고 운동하면 발가락이 바르게 잡혀 힘줄 신경 림프 등이 영향을 안주어 통증과 염증이 생기지 않는답니다
조깅을 시작했는데 한쪽 다리만 무릎과 허벅지가 묵직하고 몸이 부었을 때처럼 잘 굽혀지지 않습니다 통증은 없구요 통증이 없으니 병원에 가기도 애매하고 폼플러로 마사지는 해주고 있는데 계속 조깅을 해도 되는 상황인지 모르겠어요검색을 해봐도 다 통증에 관한 내용인데 아프다기 보다는 불편한 느낌이에요 굽혀지지 않는다는 것도 실제로 안굽혀지는건 아니고 뭔가 위화감이 드는 정도? 혹시 제가 어떤 상황에 놓여있는건지 설명해주실 수 있는 분.. ㅠ,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",조깅후에 그런 증상이 있다면 무릎 관절에 체중이 실리고 통증이 가해져 그럴 가능성이 있습니다위화감이 느껴진다면 조깅은 당분간 쉬어주고 무릎에 무리가 가지 않게 우선 안정을 취한후 어느정도 좋아지면 무릎 부위 근력을 키우는 운동부터 해보세요
