제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.10.22.|2018.10.26.&section=kin&page=1
원래도 가슴이 답답하고 그랬는데 운동부족인가 싶었는데운동을 몇달해보니 면역력은 늘어도 그래도 가슴이 답답하고운동해도 가슴답답하고 숨쉬기도 힘들어요어느 병원을가야하나요? 엑스레이 찍어도 아무 이상없는데 어디 병원을 가야하고 무슨검사를 해야아는건가요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",흉부사진은 이미 찍으셨다니까..내가에 가셔서 일차적으로일단 심전도하고 폐기능 검사를 해보세요.그리고 나서 결정을 하시면 됩니다.
여자 생식기 뾰루지(?),저는 15살 여중생이에요 몇일전부터 사진에있는 초록부분이 미친듯이 가려웠는데 가려운게 사라지니깐 빨간부분에 여드름보다 훨~~~씬 큰 뾰루지가 딱 한개 났는데요 걸을때마다 살끼리 닿으니까 너무 아프고 건드리면 따끔거리네요ㅠ 뾰루지가 난 부분이 좀 그시기해서.... 어느 병원으로 가야하나요~~~ㅠ 그리고 생식기에 뾰루지가 나는 이유는 뭔가요ㅠ? (혹시몰라서 증상부위 빼고는 모자이크+색칠했어요...),모낭종 입니다.샤워후 드라이기로 충분히 말려만 주셔도 효과볼수 있으며 많이 아프시면 약국에서 마이싱 하느 구입해드시면 됩니다.병원을 간다면 산부인과 가시면 됩니다.궁금한게 있으시면 쪽지 주시고 채택 부탁 드려요 http://note.naver.com/note/sendForm.nhn?targetUserId=%E2%98%85%E2%98%85%E2%98%85&svcType=1&popup=1쪽지 링크입니다.lyj-9636@naver.com 메일로주여도 됩니다채택후 쪽지로 질문 주시거나 톡디 남겨주시면 실시간 상담 가능합니다.링크 누르시고 보내는 사람에 lyj-9636 적으시면 됩니다
종아리에 붉은 멍자국 같은 반점이 자꾸 생깁니다.1년 전부터 한 두 개씩 생기다가 점차 늘어났어요.색은 보통 붉은 색인데 파란색이나 회색빛으로 진해질 때도 있어요.눌러도 아프진 않은데 이런 반점의 수가 점차 늘어나고 크기가 커지고 무릎 위쪽으로도 번져 올라 오려고 해서 걱정입니다.스트레칭을 하거나 마사지를 해도 사라지지 않습니다.어느 병원 무슨 과에 가서 진단을 받아야 하나요?왜 이런건까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","님가벼이볼사안이아니라봄니다..사진을보니.가볍지는않아보임니다..호르몬의이상으로인한..여러가지,질환이의심.됨니다..병원에가보았나요..이렇게되도록..방치했다면..참어이가없어요.님아병원에빨리가보세요.. 큰병원에가보세요..대학병원.."
"자궁경부암 검사를 하였는데요세포검사에서는 이상이 없다고 나왔는데선생님께서 경부가 좀 안좋다고하시며확대경 검사를 하셨는데 결과가세포검사는 검체상태: 적절, 자궁경부선상피세포:유유형별진단 : 음성, 종합판정:정상확대경검사에서는 positive 2 compatible with high grade lesion(mophology:acetowhite epithelium)이렇게 나왔습니다조직검사를 해보자고 하시는데 너무 무섭고 혹시나 암일까 걱정됩니다ㅠㅜ어떤상황인지 알려주세요!세포검사에서 이상이 없는데도 암일수도 있을까요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","자궁경부암 검사를 하였는데요 세포검사...비공개질문13건질문마감률100%질문채택률91.7%2018.10.26. 20:06조회수7스스로 생각하여 타인을 배려할 줄 모른다고 생각하면 읽지 마시길 바랍니다.아래 내용은 매우 돌려져 있어서그런 사람이 읽을 경우 짜증이 나게 의도적으로 쓰여 있답니다.알려주면 안되는 못된 사람에게도움주는 것은 사회의 악을 키운다고 생각하는 사람이라서 그렇습니다. 초보라 질문하는 방법을 몰라서 알려드립니다.1. 네이버 도움말을 찾아서 채택없이 마감하는 방법을 배워서마감률은 90%이상으로 유지하시고 채택은 신중하게 스스로가 알아서 하시길 바랍니다.마감률은 답변자가 답변을 달면 보기는 한다는 표현이랍니다.2. 질문은 성의를 다하여 되도록 길게 쓰시길 바랍니다.님의 의도와는 다르게 우연히 답변하는 데 필요한 내용이 써지기도 한답니다.정말 답변이 필요한 사람이라는 것을 보여주는 것이랍니다.정말 필요하면 말이 길어지거든요 조금은 여러번을 읽어야 이해가 되게 쓰여 있으니정필요하면 여러번 읽으시길 바랍니다.필요없는 사람은 읽지 마시길 바랍니다.이해가 안될 뿐아니라 기분만 상하게 될 것입니다.그러다 욕하면 벌금내게 됩니다. 이제 읽으면서 문답식으로 답변합니다.어디 읽어 볼까요자궁경부암 검사를 하였는데요세포검사에서는 이상이 없다고 나왔는데선생님께서 경부가 좀 안좋다고하시며확대경 검사를 하셨는데 결과가세포검사는 검체상태: 적절, 자궁경부선상피세포:유유형별진단 : 음성, 종합판정:정상확대경검사에서는 positive 2 compatible with high grade lesion(mophology:acetowhite epithelium)이렇게 나왔습니다조직검사를 해보자고 하시는데 너무 무섭고 혹시나 암일까 걱정됩니다ㅠㅜ암은 아니랍니다.어떤상황인지 알려주세요!경부가 다소 헐은 경우랍니다.세포검사에서 이상이 없는데도 암일수도 있을까요?세포검사에서 이상잇다고 나왔답니다.저정도는 암이 아니랍니다.조직검사를 해야할지는 그 의사의 판단입니다.해서 님에게 해로울것을 없답니다.상태가 저러니 아래 참고하여 정청법을반드시 하세요정기적으로 검사하라고 할 것입니다.하시면 되구요이형성증으로 나온 상황입니다.병원에서 검사를 다 마치시길 권유합니다.그리고 아래 참고하여 검사가 종료된후 1주일후부터 정청법을 하시길 권유합니다.*******아래 글을 줄여볼까 했는데 안되는군요그러니 긴글 싫으면 여기서 멈추시길 바랍니다. 본인은 타인에 대한 배려가 없는 사람에게조금이라도 도움이 되지 안되기를 바라는 마음속에서아래 글을 썼으니 타인을 배려하지 않는 사람은 읽지 마시길 바랍니다.아래 글이 님의 기분을 상하게 할 것입니다.아래 글은 키포인트도 써 있지않고빙 돌려서 말해놓아서한번에 이해가 안되니여러번 읽어서 이해하시길 바랍니다. 몇자적어놓고 정확한 답을 구하거나몇마디 써 놓고알려줄 것을 다 알려주었다는 식의 형태가지금 유행처럼 되어서 아마도 조만간에 네이버 답변이 쓸모가 없어질 것 같네요답을 구하는 것도 하나의 도움을 청하는 것이니자신의 권리라고 생각하지 마시길 바랍니다. 아무리 좋은 말을 써 놓아도 비난하거나 욕하는 사람은 없어지지 않으니신고하시거나 무시하기길 바랍니다. 아래는 정청법에 대한 이야기입니다.정청법이란(정)확한 성기 (청)결(법)의 약자입니다. 저만이 쓰는 말이구요.말그대로 정확한 방법으로 성기를 청결히 하면 대부분의 여성질환은 낫는다는 의미입니다.여기서 청결이라고 하니 그저 눈에 보이기에 깨끗하면 되는 줄 착각하는데질염은 균이 사는 것이라 균은 눈에 보이지 않습니다.아무리 깨끗하게 씻어도 질염은 그냥 낫지 않습니다.간단히 싱크대와 화장실 변기를 생각하여 보세요눈에 보기엔 싱크대가 윤도 나고 깨끗해 보입니다만 화장실 변기보다 균수는 더 많답니다. 질염에 걸리는 과정은 아래와 같습니다.초경하기전에 냉증이 생깁니다.냉이란 질안에서 나오는 피를 제외한 모든 분비물을 의미합니다.그래서 냉증은 질병이 아니랍니다.다만 냉증은 인체를 보호하기 위하여 자연스럽게 분비되는 것이라고 보시면 됩니다.문제는 성기가 매우 청결할 때에는 그양이 매우 적어서 냉이 없다고 느낄 정도랍니다.(물론 심리적으로 흥분상태일때는 예외적으로 많아지는 것이 당연한 것이라 제외합니다.)초경을 하기 전에 냉이 나오는데 이도 성기내부를 씻어내기 위한 보호작용이랍니다.보통 초경을 하기전까지는 그나마 청결상태가 좋은 상태라 그리 많지 않습니다.많든 적든 그때는 물로 깨끗이 잘만 씻어줘도 병에 걸리지 않게 됩니다.보통 초등학생의 이야기랍니다.하나의 예를 들립니다.인체는 자신을 방어하기 위한 방어책을 가지고 있습니다.예를 들면 꿀벌집에 말벌 3마리정도가 침입하면 그 말벌은 죽습니다.하지만 말벌이 20마리가 넘으면 그 꿀벌집은 초토화됩니다.꿀벌이 자기집을 지키기위하여 노력을 하여도 소용이 없는 말벌의 수라는 말입니다.인체도 자신을 지키기 위하여 방어를 합니다.그런데 이미 한번이라도 질염에 걸렸다는 것은 그 방어만으로 해결이 안된다는 것을 의미합니다.그래서 그 방어를 도와주는 정청법을 해야 합니다.냉증이란 1주일동안 팬티에 냉이 한번이라도 묻었다면 냉이 많다는 것을 의미합니다.초경하기전에 냉증이 심하지는 않지만 보통 있습니다.이때가 정청법전에 잘씻어줘야 하는 상태입니다.그후 이제 다른 여러지식이 생기다보니 여러 가지를 하는 경우가 생깁니다.그러면서 방어할수 있는 범위를 넘게 됩니다.그래서 생기는 것이 질염이랍니다.당연히 균이니 말려라 여성의 감기같은 것이다 꽉끼는 옷을 입지 마라 등등의여러 가지 말들이 있습니다.다 그렇게 말하는 이유와 근거가 있는 것이랍니다.하지만 저런다고 낫지 않습니다.같은 이유와 근거로 정청법을 하라고 하는 것입니다.1주일에 냉이 팬티에 2회이상 묻으면 정청법을 하는 것이 제일 좋은 시기랍니다.중고등학생의 경우 질염에 걸려도 매우 건강하여 아무것도 안해도 증상이 없어집니다.하지만 낫은 것이 아니랍니다. 그래서 재발을 하고 다시 낫고 하면서 점차로 문제가 커집니다. 정청법이란 균이 자라지 못하게 하는 방법에 지나지 않습니다.그래서 인체의 방어방법에 의하여 충분히 이겨낼 정도의 상태를 만들어 유지시키는 것이 바로 정청법인 것입니다.위에서 꿀벌과 말벌의 이야기를 참고하세요이제 17세에서 20세 정도가 되면 여러 가지 활동으로 질염에 걸리기 시작합니다.이것은 꿀벌의 이야기처럼 스스로 이겨낼 수 없는 지경에 이르렀다는 것을 의미합니다.그래서 질염에 걸렸다고 하면반드시 산부인과에 가서 분비물 검사를 반드시 해서 처방을 받아서 처리해야 합니다.보통 나이가 어려서 처녀막이 있는 경우가 많으니병원을 가도 쉽게 분비물검사를 안합니다.그 이유는 도구가 없거나 위험부담을 안가지려는 것 때문입니다.잘 찾아보면 해주는 곳이 있답니다.(의사들 중에는 선하고 신념을 가진 의사도 많답니다.)정확하지는 않지만 간편검사를 하는 곳도 있구요반드시 질분비물검사를 해서 처방을 받아서 약을 드셔야 합니다.네이버의 잘못된 지식 전파로 증상만 가지고 무슨 질염이다 생각하여 약국에서 처리하는 것은 잘못된 것이랍니다.(하도 제가 이글을 많이 쓰다보니 그런경우가 줄어들기는 하였더군요. 좋은 현상이랍니다. 그런 행동은 질병을 더 키운답니다. 절대로 하지 말고 병원가세요.)질염을 크게 나누어서 세가지중에 두가지 종류는 약국에서 그 약을 처방없이 팔수없게 의료법에 막혀 있답니다.또한 증상으로 무슨 질염이다라고 병원의사도 그러는 경우가 있는데그런 병원은 다시는 가지 마시길 바랍니다.실제 그렇게 해서 틀리는 경우가 맞는 경우의 2배정도 됩니다.병원의사라고 하여도 무슨 병인지 찍어서 치료하기를 원하지 않는다면 그런 병원은 다시는 가지 마시길 바랍니다. 반드시 질분비물검사를 하세요. 질염은 처음에는 병원가면 쉽게 잘 낫습니다.하지만 재발을 반드시 하는데 그 기간이 점차로 줄어듭니다.처음엔 2년이나 1년다시 6개월 다시 3개월 이제는 1주일 최후엔 약먹는동안만이렇게 그 재발하는 시기가 짧아집니다.그러면 병원을 믿을수 없네 이병원 돌팔이네 합니다.아니랍니다.질염의 치료법은 거의 정형화 되어 있어서어느 병원을 가도 거의 같습니다.그러면 왜 저런 현상이 벌어지느냐하면님의 평소 성기청결방법에 문제가 있어서 필연적으로 그렇게 되는 것이랍니다.청결방법이 좋은 사람은 좀 더 오랫동안 재발을 안하고아주 건강한 사람의 경우도 오랫동안 재발을 안할 뿐이랍니다.요즘 면역력을 중시하다보니 유산균도 생각하고 하지만김치 자주 드시면 됩니다.다 쓸데없답니다.정청법을 정확히 해서 청결유지가 되어 균이 쉽게 번식하지 못하게 막아주면꿀벌의 이야기처럼 균의 수가 말벌 2마리정도 되어서 인체가 그 균을 죽이게 됩니다.그래서 질염의 재발을 막는 것이랍니다.그러니 원리는 간단합니다.균수가 많으면 즉 말벌의 수가 많으면 그 말벌의 수를 줄여주는 도움이 반드시 필요합니다.그것이 병원의 약입니다.그 후 말벌의 수가 적게 되도록 정청법을 하면 되는 것입니다.질염의 치료는 정청법을 먼저 하고 산부인과 가서 질분비물검사를 받고검사결과가 나와 처방이 나오면 약과 함께 정청법을 지속하면 됩니다.정청법은 지속하여야 하고 완전히 상태가 좋으면 그 상태를 유지할 정도로 정청법을 하는 횟수를 줄여줘야 합니다.가장 좋은 흿수는 1주일에 1번에서 2번정도까지 줄여줘도 재발이 없이 유지가 되면 가장 좋은 청결상태라고 보시면 됩니다. 이 경우 일반인은 냉이 없다고 느낄 것입니다만 냉은 있기는 합니다. 그 냉이 내부의 기관을 보호하는 것이랍니다. 보호하는데 적은 양이 필요한 경우가 가장 좋은 상태겠지요.만성질염의 경우 워낙에 문제가 되어서 보통 한번의 병원치료로 안됩니다.두 번정도는 가야 됩니다. 정청법을 지속하면서 계속하여 균수를 줄여줘야 합니다.병원을 2개월에 걸쳐서 각달에 한번씩만 가면 그것으로 끝입니다.당연히 정청법은 죽을때까지 해줘야 합니다. 보통 글을 써줘도 대충 읽어보고 의견란에 욕을 쓰거나 비난을 하거나여러 가지 형태의 안좋은 말을 하는데심지어 제대로 읽어보지도 않고 이메일 상담을 하는 경우도 있습니다.첫마디가 병원안가고 낫을수 있냐는 질문인데 제가 언제 안가도 된다고 하였나요?반드시 가야 합니다. 정청법은 스스로 잘 생각하여 만들어보세요. 균이 어떻게 하면 살기 힘든 상태를 만들지를 생각하여 만들어 보세요. 방법은 의외로 쉽답니다. 잘 생각하여 만들어보시길 바라구요정히 안되어서 어쩔수 없이 도움이 필요하면 이메일주소를 알수 있게 된 부분이 있답니다.잘 찾아서 이메일로 상담을 하시면 되는데저는 타인을 배려하지 않는 사람, 의지가 없는 사람, 정말 필요하지 않는 사람을 다 제거합니다. 그러니 이메일주신다고 하여 다 상담해줄 것이란 생각은 하지 마시길 바랍니다.심지어 병원안가도 낫을수 있겠다는 사람은 제글조차 제대로 읽지도 않았다는 것이죠. 당연히 상담안해줍니다. 저도 시간도 없고 그래서 되도록 스스로 하라고 알려드리고 권합니다.그러니 상담을 하려고 하지 마시고 스스로 생각을 해보세요 그럼 쉽게 방법을 찾을수 있답니다. 제대로 된 방법인지는 증상이 호전된다면 정확한 방법에 근접했다고 생각하시면 됩니다. 병원치료후 재발이 없으면 완벽한 것이랍니다. 그렇게 방법을 찾으시면 됩니다.질병에 대하여 잘아는 사람 또는 이미 많은 사람이 상담을 했으니 주변에서 찾아서 조언을 구하여 좋은 방법을 찾아보시길 바랍니다.상담이 무료라고 하니 다 상담하려고 하는데 매우 까다롭게 선별합니다. 선별조건은 위에 알려드렸구요. 사실 저도 시간이 별로 없어서 상담을 다 해줄 수도 없고 상담을 많이 하다보니 알려줘서 해로운 인간성을 가진 사람도 있어서 그런 사람을 찾아서 제거하는 것이 더 어렵습니다. 매우 까다롭게 선별을 하게 되어 있으니 이메일 상담해서 오히려 기분이 상하는 경우가 더 많다는 것을 먼저 알려드립니다. 그러니 되도록 스스로 해결하시길 권해드립니다. 장난으로 쓴 글이 아니랍니다. 실제 정청법을 해서 낫은 사람들은 윗글이 장난이 아니라는 것을 안답니다. 그러니 여러번 읽어서 스스로 방법을 만들어 보세요반드시 생각할 것이잡균이 번식할 수 없는 환경을 만들 수 있는 방법과인체가 스스로 방어하기 위한 상태를 최대치로 만들어줘야 한다는 것위 두가지를 생각하여 방법을 만들면 됩니다. (자위를 자주한 후 정청법을 안하면 위 두가지가 다 깨져서 조만간에 질염에 반드시 걸리게 됩니다. 길어야 1년안에 걸립니다.) 제가 이렇게 여러 가지 말을 하는 이유는 세상은 서로 도우면 99%의 세상일은 다 해결된다는 믿음 때문입니다.그래서 타인을 배려하지 않는 사람이라고 판단되면 절대로 상담안해줍니다.그러니 그런 사람은 절대로 상담신청하지 마세요위에서도 말했지만어디가든 나쁜 사람은 있답니다.기생충은 알아서 숙주가 좋은 상태까지만 숙주속에 살아갑니다만기생충같은 인간은 숙주가 좋아서 자신이 살아갈 수 있다는 것을 모릅니다.사회가 유지되는 것은 아직도 선한 사람이 많다는 것을 의미합니다.상담을 하면서도 그 부분을 항상 느낍니다.(무슨 말일까요?) 절대로 가르쳐 줘서는 안되는 사람들의 종류에는 여러 가지지요간혹 아래 의견란에 보면 그런 사람들이 나옵니다.한번 의견란을 보면서 분류해보세요재밌는 게임이랍니다.1. 모르면서 아는 척하는 사람2. 무조건 시비거는 사람3. 심심하여 미치겠다는 사람4. 스스로만 옳다고 생각하는 독불장군5. 글도 안 읽어보거나 대충 읽은 후 다 아는 것처럼 헛소리하는 사람들보통 5가지중에 하나랍니다.재밌는 게임이니 맞추어 보세요욕을 하는 사람도 있죠 벌금을 준비하시면 됩니다.여러명 벌금내더군요ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ재밌는 게임이죠정답은? -스스로 어리석다는 것을 깨닫기 제일 어려운 사람은 정답을 가장 잘 맞추는 사람이다.--ㄹ-"
우울증은 정신병원 말고 심리과로 가야하나요?저희엄마가 정신병원쪽 약 먹음 안좋다고 하셔서 십년넘게 못갔는데 요즘엔 제가 어떤 단어 들으면 일초 안걸려서 울고 과거 생각하면 일초 안걸려서 울고 감정 자제가 안되더라구요 그래서 혼자 몰래가서 치료 받아야겠단 생각을 했는데 어떤분 약은 소용 없다 하셔서 정신병원 말고 심리과그런곳 가라던데 어느게 맞는건지 모르겠어서...일단 저는 우울증쪽인것같아요... 어디로 가야하나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",병원가서 진료받으시고 약 먹지 않겠다는 의사 밝히시면 강요하진 않을거예요 그리고 심리상담 추천합니다 약물치료는 아무래도 불면증이나 위장장애 두근거림 등 생물적인 반응을 우선적으로 치료하구요 그리고 감정을 억제한달까 근본적인 치료는 심리상담이 좋다고 하더라구요 병원진료는 정확하기도 하고 그냥 확인차 가셔도 좋다고 생각합니다
우울증은 정신병원 말고 심리과로 가야하나요?저희엄마가 정신병원쪽 약 먹음 안좋다고 하셔서 십년넘게 못갔는데 요즘엔 제가 어떤 단어 들으면 일초 안걸려서 울고 과거 생각하면 일초 안걸려서 울고 감정 자제가 안되더라구요 그래서 혼자 몰래가서 치료 받아야겠단 생각을 했는데 어떤분 약은 소용 없다 하셔서 정신병원 말고 심리과그런곳 가라던데 어느게 맞는건지 모르겠어서...일단 저는 우울증쪽인것같아요... 어디로 가야하나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",정신과 가서 상담받는게낫지않을까싶은데요. 어떤증상인지 정확히 알아야 후속조치를 할수있을듯요
대구모발이식 정말 자연스럽게 진행해주...,"대구모발이식 정말 자연스럽게 진행해주는곳을 찾습니다.저는 31살 직장인인데요..20중반부터 스트레스 받아서 탈모가 급하게 진행되었어요할아버지, 아버지 유전자를 물려받은 영향도 있긴하지만...특히나 갑작스럽게 탈모가 심해졌습니다. m형 탈모이고요머리 더 빠지지 않게 관리를 해주고 했지만 효과를 보지는 못했네요.이렇게 돈을 들이면서 관리가 안될바에는 차라리 대구모발이식을받는게 더욱 괜찮을거 같아서 대구모발이식 병원을 찾는데요대구모발이식병원이 상당히 많네요대구모발이식병원 상담을 받아야하는데 어느병원을 선택해야할지 모르겠습니다.알아본거로는 생착률도 중요하고....대구모발이식병원 알아보면가격도 차이가 나는데 정확한 금액은 잘 모르겠고요...혹시나 대구모발이식을 받고나서 효과 많이 보신분들 없을까요??저는 매우..ㅠㅠ 중요합니다. 대구모발이식 병원 추천도 부탁드릴께요.",모생외과의원 중구청에서 조금만 내려가면 있습니다.모발이식전문병원으로 유명합니다.
대구모발이식 정말 자연스럽게 진행해주...,"대구모발이식 정말 자연스럽게 진행해주는곳을 찾습니다.저는 31살 직장인인데요..20중반부터 스트레스 받아서 탈모가 급하게 진행되었어요할아버지, 아버지 유전자를 물려받은 영향도 있긴하지만...특히나 갑작스럽게 탈모가 심해졌습니다. m형 탈모이고요머리 더 빠지지 않게 관리를 해주고 했지만 효과를 보지는 못했네요.이렇게 돈을 들이면서 관리가 안될바에는 차라리 대구모발이식을받는게 더욱 괜찮을거 같아서 대구모발이식 병원을 찾는데요대구모발이식병원이 상당히 많네요대구모발이식병원 상담을 받아야하는데 어느병원을 선택해야할지 모르겠습니다.알아본거로는 생착률도 중요하고....대구모발이식병원 알아보면가격도 차이가 나는데 정확한 금액은 잘 모르겠고요...혹시나 대구모발이식을 받고나서 효과 많이 보신분들 없을까요??저는 매우..ㅠㅠ 중요합니다. 대구모발이식 병원 추천도 부탁드릴께요.","답변 드립니다. 이런경우 술,담배, 기름진 음식등 피해야 할 사항이 많습니다.일단 알고계실지는 모르겠는데 대구모발이식 센터를 알아봄에 있어서 중요한것은대구모발이식전문병원이수술경험이 많은지, 다양한 사례의 모발이식을 집도해온 의료진들인지확실하게 모발이식 분야에서 전문성을 띠고 있는지를 꼼꼼하게 따져보셔아합니다.대구모발이식 병원중에 모발이식만을 진료하고 수술하는 대구모발이식전문병원을 선택하셔야 합니다.제가 소개를 해드리는 대구모발이식전문병원은 전문적이고체계적인 교육을 이수한 모낭분리사가 있습니다.그러다보니 환자의 모낭의 손실율을 최소화 시켜서 모발이식이 가능하다는 점 입니다.그리고 이 대구모발이식센터의 가장큰 장점은 생착률이 90% 이상 보장된다는 점입니다.생착률이 높을수록 재수술확률이 현저하게 떨어진다는점 참고하시구요!확실하고 전문적인 대구모발이식 센터를 찾으신다면대구모발이식 보자르 내원하셔서 상담 받으시길 바랍니다."
제가 포경한지 1달 22일이 지났는데...,제가 포경한지 1달 22일이 지났는데 붓기는 예전보단 많이빠졌지만 아직 좀 많이남아있고 아직도 가끔 따끔따끔 거리는데 정상인가요?..혹시 잘못된건 아닌가요? 진짜 수술하고나서 자꾸 신경쓰여서 스트레스를 너무 받는거 같아요.. 실밥은 전부 빠졌습니다. 답변부탁드립니다..!!,"안녕하세요. 포경수술 후 한달정도 지나면 어느정도 아물게 됩니다. 저는 포경수술 후 한달 후 부터는 성관계가 가능하다고 설명드리는 편입니다. 질문하신 분의 경우 시간이 지나면 점점 증상이 호전될것으로 생각이되지만, 그래도 따끔따끔하다고 하시므로, 수술한 병원에 내원하셔서 진료를 보시기 바랍니다.감사합니다."
제가 포경한지 1달 22일이 지났는데...,제가 포경한지 1달 22일이 지났는데 붓기는 예전보단 많이빠졌지만 아직 좀 많이남아있고 아직도 가끔 따끔따끔 거리는데 정상인가요?..혹시 잘못된건 아닌가요? 진짜 수술하고나서 자꾸 신경쓰여서 스트레스를 너무 받는거 같아요.. 실밥은 전부 빠졌습니다. 답변부탁드립니다..!!,자위를 자제하면서 하세요 그래야 빨리좋아질겁니다
숨쉬기 불편해요,고2인데요 이번주 수요일부터 쯤인가 학교에서 수업때 자는데 친구가 제가 잘때 숨을 거칠게 쉬어서 깨웠거든요 원랜 안그래요 그렇게 그때부터해서 갑자기 지금까지 숨쉬기가 불편한거에요 막 낮에 움직이거나 서있거나 앉아 있을땐 아무렇지도 않은데 잘시간만되면? 누우면? 살짝 숨쉬기가 좀 답답하다고 해야하나 그리고 목부분도 차가운느낌? 이라고 해야하나 아깐 갑자기 무언가가 엄청 불안하기도 했고 아무생각없을땐 아무렇지도 않다가 갑자기 의식하면 엄청 불편하고 큰숨쉬고 하품하려고 하면 하품이 잘안나와요 손이나 그런게 살짝 떨리곤해요 얼마전에 시험기간이여서 편의점에서 커피를 하루에 4개 정도 사서 마시곤했었는데 이거때문인가 싶기도하고 아 그리고 고혈압이랑 빈혈 있긴해요 생리는 저번달에 2달동안 하다가 지금은 예정일보다 2주정도 안하고있고 폐가 문제인지 호흡기가 문제인지 ..그래서 이럴땐 어느병원 가야되요?ㅜ,허약자인데  먹는게 부실하니  더 심각해져 또다른 문제들이 생긴듯 내분비과에서 체크해보도록 밥부터 골고루 제대로 먹도록   면역질환이 생긴듯한데  약골
